"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6FwJj7uwhZ1vrBlDZvMLZk","Is You Ready - From ""Mile 22""","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","spotify:album:0kcQVLgW7ugVdFapH14iiP","Is You Ready (From ""Mile 22"")","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","2018-08-17","https://i.scdn.co/image/ab67616d0000b273f3debe3bbd444814ace8d4f8","1","1","184276","https://p.scdn.co/mp3-preview/d3e76dec15780438e721d1ad7d4726e8376a63bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USUG11801662","spotify:user:theofficialvelocifaptor","2021-12-19T09:22:41Z"
"spotify:track:2J7tTtwQ3cmqD9xYqVqtUh","A Newlywed Couple","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:3C9XpXXMzu9C4ZrtfVu7nx, spotify:artist:6jQAFXkB1ciNf4PLUfIvdF, spotify:artist:5z25CHFEWooGOieYYw4j3T, spotify:artist:7iS9ltSyOIaj4fHeP954mq, spotify:artist:24atAUm9yln5x8Os9PEIwv, spotify:artist:1Yv2bYY94u2nm7OHwrEIcQ, spotify:artist:1wNMHuKUcnVHROrQKTD0nP, spotify:artist:4SRa1GAIUaHyIewJTmBs03, spotify:artist:4H1hvfjLlg0hcxj8lwDOt9","Kristen Anderson-Lopez, Robert Lopez, Sara Mann, Jessica Rotter, Cindy Bourquin, Elyse Willis, Laura Dickinson, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","spotify:album:7cT5OHwrPtilc4Mf7hBU6N","WandaVision: Episode 1 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","1","1","54240","https://p.scdn.co/mp3-preview/858eede1d05236ec4ef98d5c8109964191a2547d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USHR12141242","spotify:user:theofficialvelocifaptor","2021-12-19T09:22:58Z"
"spotify:track:2lD3POsCEgFZGH5F2cT46Y","WandaVision!","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:3C9XpXXMzu9C4ZrtfVu7nx, spotify:artist:6jQAFXkB1ciNf4PLUfIvdF, spotify:artist:5z25CHFEWooGOieYYw4j3T, spotify:artist:7iS9ltSyOIaj4fHeP954mq, spotify:artist:24atAUm9yln5x8Os9PEIwv, spotify:artist:1Yv2bYY94u2nm7OHwrEIcQ, spotify:artist:1wNMHuKUcnVHROrQKTD0nP, spotify:artist:4SRa1GAIUaHyIewJTmBs03, spotify:artist:4H1hvfjLlg0hcxj8lwDOt9","Kristen Anderson-Lopez, Robert Lopez, Sara Mann, Jessica Rotter, Cindy Bourquin, Elyse Willis, Laura Dickinson, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","spotify:album:6hHldbhX0IFxXx8v9Ja4Xr","WandaVision: Episode 2 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b273d20678800e5ffda05b12b311","1","1","53626","https://p.scdn.co/mp3-preview/4ad89295af43e5463b5b6fc000ffbfc6e88ea017?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USHR12141251","spotify:user:theofficialvelocifaptor","2021-12-19T09:23:30Z"
"spotify:track:7wy016ZmoaeapFpte30sK1","We Got Something Cooking","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:7iS9ltSyOIaj4fHeP954mq, spotify:artist:24atAUm9yln5x8Os9PEIwv, spotify:artist:1Yv2bYY94u2nm7OHwrEIcQ, spotify:artist:4H1hvfjLlg0hcxj8lwDOt9","Kristen Anderson-Lopez, Robert Lopez, Elyse Willis, Laura Dickinson, Eric Bradley, Gerald White","spotify:album:130DD1WPUCsr30RKqAmiQI","WandaVision: Episode 3 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-29","https://i.scdn.co/image/ab67616d0000b2736fb5f3715fd9a54f1bba000b","1","1","67186","https://p.scdn.co/mp3-preview/780b40a740671759e65dece198617b9fecd8584c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USHR12141259","spotify:user:theofficialvelocifaptor","2021-12-19T09:23:52Z"
"spotify:track:7uEcCGtM1FBBGIhPozhJjv","Daydream Believer","spotify:artist:320EPCSEezHt1rtbfwH6Ck","The Monkees","spotify:album:2Ov6zb7NfgDh3EXSIIWrb2","The Birds, The Bees, & The Monkees","spotify:artist:320EPCSEezHt1rtbfwH6Ck","The Monkees","1968-04-22","https://i.scdn.co/image/ab67616d0000b27376448e93fcf0b2298744ba97","1","5","179613","https://p.scdn.co/mp3-preview/1ac30893bdf3d5334babc8ad5b54f819ca52b219?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRH10125802","spotify:user:theofficialvelocifaptor","2021-12-19T09:24:00Z"
"spotify:track:2AxCeJ6PSsBYiTckM0HLY7","Voodoo Child (Slight Return)","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","16","313373","https://p.scdn.co/mp3-preview/9a4434bb29956cd4097053fcb56bef39acdf331e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USQX90900750","spotify:user:theofficialvelocifaptor","2021-12-19T09:24:37Z"
"spotify:track:2yvK5UpojmQyISf3ABE7Ot","Twilight Time","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0rGjtpNzIevXpCgQR5bcFS","The Great Pretender","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","2020-06-17","https://i.scdn.co/image/ab67616d0000b2737de77074bded6dfd2beefec5","1","4","164466","","false","0","ES71G2026119","spotify:user:theofficialvelocifaptor","2021-12-19T09:24:43Z"
"spotify:track:553Nw509Iu0IcU8z17kih3","Making It Up As We Go Along","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB","Kristen Anderson-Lopez, Robert Lopez","spotify:album:6eSgGEfhaA2Hq4mNQuVrYh","WandaVision: Episode 5 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-02-12","https://i.scdn.co/image/ab67616d0000b27324ab9de77ad69a0167c2f786","1","1","102333","https://p.scdn.co/mp3-preview/7a38af99f01d5305456bee74c0cf8fc086867156?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USHR12141280","spotify:user:theofficialvelocifaptor","2021-12-19T09:24:48Z"
"spotify:track:276IEtvE1or7kMbjU7yTdA","Let's Keep It Going","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:0NXQFDQVqS7ffqT8yLKUAM","Kristen Anderson-Lopez, Robert Lopez, Kathleen Hanna","spotify:album:11ZRjWuFFT38ept1Gw5yT1","WandaVision: Episode 6 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-02-19","https://i.scdn.co/image/ab67616d0000b273f77c933dad20f5e50c15fb28","1","1","56160","https://p.scdn.co/mp3-preview/69ecb0326afba246e3f78d9f8a3a4206c88d9179?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USHR12141312","spotify:user:theofficialvelocifaptor","2021-12-19T09:24:58Z"
"spotify:track:0kHsXoIt6dONEdkgKgyjoK","Agatha All Along","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:3XfjX4nsdyVaLMFi1ACXXb, spotify:artist:1Yv2bYY94u2nm7OHwrEIcQ, spotify:artist:1wNMHuKUcnVHROrQKTD0nP, spotify:artist:4SRa1GAIUaHyIewJTmBs03, spotify:artist:4H1hvfjLlg0hcxj8lwDOt9","Kristen Anderson-Lopez, Robert Lopez, Kathryn Hahn, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","spotify:album:5ALs5g5Hfd0EaLLzA2Cgza","WandaVision: Episode 7 (Original Soundtrack)","spotify:artist:3CneYb5exy4KOtvCCrozDD, spotify:artist:3zUCHzvbTmCOZoY750yHPB, spotify:artist:1GjWNGbMtHDQ7CNYf2d7cw","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-02-23","https://i.scdn.co/image/ab67616d0000b273374bbe82f1abe6921b1488fa","1","2","62613","https://p.scdn.co/mp3-preview/4ca19d919f76e982d7c91ff7471bd795ff10d4ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USHR12141346","spotify:user:theofficialvelocifaptor","2021-12-19T09:25:12Z"
