"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:2BAlPE15dKMXpB5Trutcak","Theme from ""Quantumania""","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/bab75f747051b7736aaebae099494f23f65f5ffb?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0OfKvvTRwQyJLoOtilWCzH","We Should Be Dead","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/4dfad34d1b4ed358b1b6ac5a35a663a704128e0d?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6j6Rmvm9djAc0EGZTCk59H","What Is This Place?","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/f837bc8b589b39ead39cf84e30394d4a9bc02201?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1bfbsRiwf848c6K4RE4F5u","Skies of Axia","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/d3c5f17da22d6ff2e10a0f5dfc1c67339f0d65d4?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4ot6UaSxkcpMgSK3RcQTw4","The Hunter","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/f1f6ecb51f34bf5a20210429c219e1d31101b202?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7iueyrFsrIm3X4m2aTIeM1","Fifty Shades of Kang","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/264d70b3a13aaa9f3878ee10fad7293002ea1119?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2EIFbx9UZBz1iPjxbOGIU5","Quantum Nexus","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/9515a5c8e2a3d4762af3a22d1c209468786e10c9?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2nqbGSVpEkF2qnAgPVRXYB","The Conqueror","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/8585f9f68888327e4ecf0f8ec12e6cd02225cbfb?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0HJHWwYmpju2KhHmBclD5I","Through the Storm","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/3e7781612182be304e04a44aa084dc5261745a73?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2vQExZo269yLVvaQHDunaR","Sting Operation","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/7a66920e71f8732b13a8d33b8356cdfd6ebc9ab1?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:16hu1GdgSxqjoOKyElCdhF","Honey, I Shrunk the Energy Core","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/1e9b50d06ea5427056e9260f1c8f912b64d9bb37?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7hmCKtygfZr8WDNwH1o4tJ","Look Out For the Little Guy","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/3c6c046c0c1d90a0ca2753223b41b7aab28fb622?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5hvLy7QVmRmAV1iBhlqKYt","He's Kang, He Saw, He Conquered","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/7b69d42512cf9a07529d9703fd802fd32a5e5c21?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1jyNO3YfkGs5jRg4M38L7B","Sting Low, Sweet Variant","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/af80c643ac7e853e3d30915e0feb13fefaca3a38?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1osBAT1tnZsiQK9y5cWT7u","Like Father Like Daughter","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/a73cc2a361725506b0b69e899cbab4cf75fe082a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4QANWmzbRHN0UtSHxsOE8i","Kang Bang","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/d0e69d718237c6f9db1e38b6f01d33fe0ae32f25?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4oeXtsZLFHTp35rsdzlEKe","Alien Ant Harm","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/d3b7b159615863a68ed9c1976eb39492acd8b016?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1XybdP0b3Pfvtrq8x64Xo9","Threnody for a Reformed Dick","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/bf1991b694d8bfd75d2ccbcb5da8936114787bfd?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2dsphCl6o48kitW5qBCjj9","Lang vs. Kang","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/ac3afba95209d4fe5c0443be531654f246d757a3?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2eW0zOHBgtxr0FKbbde4ZC","Don't Let Go","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/d4ce47853ac6e04408c6c81134f5faa1cbc41258?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:250vVY5kuMBVbYGzs6I5G4","Hymenoptera","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/a278186a9a70e471169823d265b5d8b710776452?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:25LbGPUUXth94zV2np4pl7","Holes","David Dastmalchian","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/a973b7bb944b65148e1343eeb6e8b50a1cae073e?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4IRHwIZHzlHT1FQpRa5RdE","Goodbye Yellow Brick Road - Remastered 2014","Elton John","Elton John","1973-10-05","https://i.scdn.co/image/ab67616d0000b273f72f1e38e9bd48f18a17ed9b","https://p.scdn.co/mp3-preview/2bbb66b8e6b0ffc9d5b0d6be802fabf4053c8a33?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:73g4NS55tJFJMI4D4E1RtG","Goodbye Yellow Brick Road (From ""Ant-Man and The Wasp: Quantumania Trailer"") - Epic Version","Geek Music","Geek Music","2022-10-29","https://i.scdn.co/image/ab67616d0000b27349878c5a3cd367ace1d7cfe6","https://p.scdn.co/mp3-preview/7181eff8b7135ed92272a0a94894e1f6739f8151?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:02lTDOxHeXTHsdwXoz6lpC","In the Meantime","Spacehog","Spacehog","1995","https://i.scdn.co/image/ab67616d0000b2739511e3a2fc113eae0dd111dd","https://p.scdn.co/mp3-preview/20b0baa4734aebedaf91ce392e0f1f1dd92c106b?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6xq5DxZWGgdStAxGAil0yw","Since You Been Gone","Rainbow","Rainbow","1979-01-01","https://i.scdn.co/image/ab67616d0000b273380a8be605d3765f34ec54f7","https://p.scdn.co/mp3-preview/68ba5cfb36e0c7467b08c9d8c299b29611463989?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2pS6zWWQCpO0IVEBIbzJh8","Welcome Back (Theme from Welcome Back, Kotter)","John Sebastian","John Sebastian","1976-01-01","https://i.scdn.co/image/ab67616d0000b2733b681e556f4c9b34b5ef7c1f","https://p.scdn.co/mp3-preview/8b5062cb67040b9ec2fa070a696755ecab71b82f?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0rVd7bTGtrQUW34xSLzozd","Intergalactic","Beastie Boys","Beastie Boys","2005-11-07","https://i.scdn.co/image/ab67616d0000b273ec2b7f0ff68408d5d7a9eb92","https://p.scdn.co/mp3-preview/73d1f41c7a9458d91774786eb9a5c5964a6d49e6?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2VLiimSGNAXOksGmLVjI7J","Kits","John Murphy","John Murphy","2023-05-03","https://i.scdn.co/image/ab67616d0000b273e1beb88cc2d75c77b4987472","https://p.scdn.co/mp3-preview/0caf6714bedb1fd199d664cb40f8afa52437d975?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2uWqBOqipiINkyuhbMD6IW","Warlock vs. Guardians","John Murphy","John Murphy","2023-05-03","https://i.scdn.co/image/ab67616d0000b273e1beb88cc2d75c77b4987472","https://p.scdn.co/mp3-preview/4dde10b703b1083111320aff9a9151ade7f032a0?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6BHwWiaezyMNSjrVixPW3d","That Hurts","John Murphy","John Murphy","2023-05-03","https://i.scdn.co/image/ab67616d0000b273e1beb88cc2d75c77b4987472","https://p.scdn.co/mp3-preview/30f3e21421f589380d50accdbeeec8b1e4c6b919?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:34f7ny1EejbxcINvqXWxRk","Batch 89","John Murphy","John Murphy","2023-05-03","https://i.scdn.co/image/ab67616d0000b273e1beb88cc2d75c77b4987472","https://p.scdn.co/mp3-preview/44d12ec4606b49c0245263502201c6fee89d8cd6?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2NKSfqgWri66O7IlE0yzw9","Orgoscope","John Murphy","John Murphy","2023-05-03","https://i.scdn.co/image/ab67616d0000b273e1beb88cc2d75c77b4987472","https://p.scdn.co/mp3-preview/4eedde5f6da0b2990f5f4a060088d5c3cf8392db?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6PRHXNZzRrsP5RppsMXTkq","Mo Ergaste Forn","John Murphy","John Murphy","2023-05-03","https://i.scdn.co/image/ab67616d0000b273e1beb88cc2d75c77b4987472","https://p.scdn.co/mp3-preview/16cf0ad74fccf7ce4fa4562d7363d5be04745614?cid=9950ac751e34487dbbe027c4fd7f8e99"
