"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL","Added At"
"spotify:track:25LbGPUUXth94zV2np4pl7","Holes","David Dastmalchian","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/a973b7bb944b65148e1343eeb6e8b50a1cae073e?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-15T22:09:38Z"
"spotify:track:4IRHwIZHzlHT1FQpRa5RdE","Goodbye Yellow Brick Road - Remastered 2014","Elton John","Elton John","1973-10-05","https://i.scdn.co/image/ab67616d0000b273f72f1e38e9bd48f18a17ed9b","https://p.scdn.co/mp3-preview/2bbb66b8e6b0ffc9d5b0d6be802fabf4053c8a33?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-15T22:09:43Z"
"spotify:track:73g4NS55tJFJMI4D4E1RtG","Goodbye Yellow Brick Road (From ""Ant-Man and The Wasp: Quantumania Trailer"") - Epic Version","Geek Music","Geek Music","2022-10-29","https://i.scdn.co/image/ab67616d0000b27349878c5a3cd367ace1d7cfe6","https://p.scdn.co/mp3-preview/7181eff8b7135ed92272a0a94894e1f6739f8151?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-15T22:10:01Z"
"spotify:track:02lTDOxHeXTHsdwXoz6lpC","In the Meantime","Spacehog","Spacehog","1995","https://i.scdn.co/image/ab67616d0000b2739511e3a2fc113eae0dd111dd","https://p.scdn.co/mp3-preview/20b0baa4734aebedaf91ce392e0f1f1dd92c106b?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-15T22:10:06Z"
"spotify:track:6xq5DxZWGgdStAxGAil0yw","Since You Been Gone","Rainbow","Rainbow","1979-01-01","https://i.scdn.co/image/ab67616d0000b273380a8be605d3765f34ec54f7","https://p.scdn.co/mp3-preview/68ba5cfb36e0c7467b08c9d8c299b29611463989?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-15T22:10:10Z"
"spotify:track:2BAlPE15dKMXpB5Trutcak","Theme from ""Quantumania""","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/bab75f747051b7736aaebae099494f23f65f5ffb?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-15T22:11:24Z"
"spotify:track:250vVY5kuMBVbYGzs6I5G4","Hymenoptera","Christophe Beck","Christophe Beck","2023-02-15","https://i.scdn.co/image/ab67616d0000b27397f0c18df9991d578d52898b","https://p.scdn.co/mp3-preview/a278186a9a70e471169823d265b5d8b710776452?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-15T22:12:09Z"
"spotify:track:2pS6zWWQCpO0IVEBIbzJh8","Welcome Back (Theme from Welcome Back, Kotter)","John Sebastian","John Sebastian","1976-01-01","https://i.scdn.co/image/ab67616d0000b2733b681e556f4c9b34b5ef7c1f","https://p.scdn.co/mp3-preview/8b5062cb67040b9ec2fa070a696755ecab71b82f?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-02-16T21:41:30Z"
"spotify:track:0rVd7bTGtrQUW34xSLzozd","Intergalactic","Beastie Boys","Beastie Boys","2005-11-07","https://i.scdn.co/image/ab67616d0000b273ec2b7f0ff68408d5d7a9eb92","https://p.scdn.co/mp3-preview/73d1f41c7a9458d91774786eb9a5c5964a6d49e6?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-04-12T10:41:14Z"
"spotify:track:6JpjIy1M7oxvPJ3uVdUKTe","Creep - Acoustic","Radiohead","Radiohead","1992-09-21","https://i.scdn.co/image/ab67616d0000b2733340ec817b195f40615cc647","https://p.scdn.co/mp3-preview/cf7bcc1b56a3eb087f4d22cb88d60f9317076315?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:13:49Z"
"spotify:track:5zH710lFSLtkHbMkslLDjR","Crazy On You","Heart","Heart","1975","https://i.scdn.co/image/ab67616d0000b2738e8c08ca2feb999bb84f05e6","https://p.scdn.co/mp3-preview/13f1a9cd5da7f84b173572ec4b8817f65bb1432e?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:14:27Z"
"spotify:track:1srD2uc11TcQiOmHHrJp8M","Reasons","Earth\, Wind & Fire","Earth\, Wind & Fire","1975-03-15","https://i.scdn.co/image/ab67616d0000b27330bb42e5271f2e046fd36972","https://p.scdn.co/mp3-preview/69f01c0feb153520d6d2c31ac8b5faea3a197416?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:15:43Z"
"spotify:track:2DFRFqWNahKtFD112H2iEZ","Do You Realize??","The Flaming Lips","The Flaming Lips","2002-05-13","https://i.scdn.co/image/ab67616d0000b273ca69f52416a728ebd0b9103c","https://p.scdn.co/mp3-preview/da9cd601ab876dc33b9c96053f191cc42118d5bd?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:16:40Z"
"spotify:track:2z1uVu3OwTmPlfqt5TWk5k","We Care a Lot","Faith No More","Faith No More","1987-04-23","https://i.scdn.co/image/ab67616d0000b273a5821e8f8ec56a5a84725134","https://p.scdn.co/mp3-preview/1ed8055539a35e07365aa0ed1047db6b4df33c21?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:17:15Z"
"spotify:track:3OP9la2QTA5artehqjFJCp","Koinu no Carnival -From ""Minute Waltz""-","EHAMIC","EHAMIC","2018-10-04","https://i.scdn.co/image/ab67616d0000b273f2829699bddbc5a884027ea1","https://p.scdn.co/mp3-preview/019d69402407fa2c5703539856561a8552518c91?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:17:37Z"
"spotify:track:1JyNPbzE7t1RUsbpiryGHJ","I'm Always Chasing Rainbows","Alice Cooper","Alice Cooper","1976-01-01","https://i.scdn.co/image/ab67616d0000b273f2f4f42443aa30df2252a0ae","https://p.scdn.co/mp3-preview/e1fc12b8b08bed0c52c20eef6bf2b7dcff111b86?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:18:02Z"
"spotify:track:2eQOMQkStoRUQyq6HGh1iG","San Francisco","The Mowgli's","The Mowgli's","2013-01-01","https://i.scdn.co/image/ab67616d0000b2738960122b302fa9b103eb6bf2","https://p.scdn.co/mp3-preview/159a3a0603abbb1763460e24eaf0297a9e893850?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:18:33Z"
"spotify:track:6mDwOKsf8ycyYeBMYmpjCG","Poor Girl","X","X","1983-09-06","https://i.scdn.co/image/ab67616d0000b273beae11d5455133ae02545de0","https://p.scdn.co/mp3-preview/e6872dba53de457a33b776ede3304352fd17c327?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:18:47Z"
"spotify:track:3FjYAj4hg5KiXpVAMjpLKq","This Is the Day","The The","The The","1983-03-13","https://i.scdn.co/image/ab67616d0000b2731bbff7a308778b39fc8c08ba","https://p.scdn.co/mp3-preview/9ce6ef8acaedd38f40da40631c8a244e7243856c?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:19:05Z"
"spotify:track:5qxChyzKLEyoPJ5qGrdurN","No Sleep Till Brooklyn","Beastie Boys","Beastie Boys","1986-11-15","https://i.scdn.co/image/ab67616d0000b273a7ea08ab3914c5fb2084a8ac","https://p.scdn.co/mp3-preview/ef084afd1371d71144f3c0c35e01b6af4e7d074c?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:19:26Z"
"spotify:track:456WNXWhDwYOSf5SpTuqxd","Dog Days Are Over","Florence + The Machine","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d","https://p.scdn.co/mp3-preview/f2e9f824fbfb697b53daf131cecc55798baea55e?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:19:43Z"
"spotify:track:0M1YQiRGel1tTMjA3orfRd","Badlands","Bruce Springsteen","Bruce Springsteen","1978-06-02","https://i.scdn.co/image/ab67616d0000b273e2bb936c55fb54b0b9fdc666","https://p.scdn.co/mp3-preview/f109df45b27dc4c23cd7482f34a881c39cde0a6a?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:20:04Z"
"spotify:track:1MV5BzujqyRQ417qj0rXNS","I Will Dare","The Replacements","The Replacements","1984","https://i.scdn.co/image/ab67616d0000b273008cfa8fb96ef0befcbc615a","https://p.scdn.co/mp3-preview/f373fa2e3ba8789c6396f82cd4bc4df2bd4351a4?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:20:34Z"
"spotify:track:5519RhpzObr9Mn3iqoeodJ","Come and Get Your Love","Redbone","Redbone","2003-01-01","https://i.scdn.co/image/ab67616d0000b2739664387d422959620c0bbb53","https://p.scdn.co/mp3-preview/2efc56cb1ce46034e8d3522ec49e9df2027f8007?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:20:54Z"
"spotify:track:4qgZs0RNjdzKAS22lP0QjY","Where The Streets Have No Name - Remastered","U2","U2","1987-03-03","https://i.scdn.co/image/ab67616d0000b273b7bea3d01f04e6d0408d2afe","https://p.scdn.co/mp3-preview/e96f76ee302e577a59c1faba689f01b4ca2d092f?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-09T08:22:16Z"
"spotify:track:6mEvISosl4ozZrgLX0viHa","The Quintet Goes To A Dance","Raymond Scott, Raymond Scott Quintet","Raymond Scott","2003","https://i.scdn.co/image/ab67616d0000b273a6a5124ad6f32726c120a926","https://p.scdn.co/mp3-preview/5b829e3685a7fc66f2caaad1c18df0141fda13af?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-31T15:43:25Z"
"spotify:track:5czjjnbTatyFal33a9h1aN","Guess Who's Back","Rakim","Rakim","1996-11-04","https://i.scdn.co/image/ab67616d0000b273796e9d830c2237253fd9b084","https://p.scdn.co/mp3-preview/9823ae8e86982a7173aa31df18569cbb3031b7ff?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-31T15:44:17Z"
"spotify:track:6Oj7osQ5EuEoH9YTbPq2I3","Bakar Bakar","Nucleya","Nucleya","2016-09-03","https://i.scdn.co/image/ab67616d0000b273488f991870f6209708b08740","https://p.scdn.co/mp3-preview/3bbc314244028a7c356382fab63a4b1af7af9d7d?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-05-31T15:50:24Z"
