"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL","Added At"
"spotify:track:7h1r6c5C8HZpDmmCodIIW4","The Fantastic Four: First Steps Main Theme Extended Version","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/e2bd5c4c1735ca7c812875e56d107091ed266f25?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:0Og2yLid9BMCcNy7P9Q2gj","Pregnancy Testing 1, 2, 3","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/027db931c311d2be40a60a264236d058defc2a24?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:0zkeCIi8emQB2sBtDIj9GX","Fantastic Four, First Cue","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/bc15e2ea4d22fdd4655557e70795e9d00d8c4159?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:0wOWFgxr5bsIhzvGiXYw3n","Herald Today, Gone Tomorrow","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/9f99bffc0c91b6b89bd29f507876fa3c623e3ec8?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:3MwsagNpPoUenweCSFv3if","Out to Launch","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/55637335517b360ce8e7a1518ca0a8d7ddd5f351?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:1hIKzlSWDLCIsnKldK1mqh","A Galactus Case of the Munchies","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/229ffab34b2a6d505af2348d4ef53c07777887b9?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:338WNFsa4SPSGj2aioD7qe","Bowel Before Me","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/be170c20efb388b9cf8af20356c9e36cd612d2a8?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:4mOXsvCWu3BYpUpqcOsi8J","The Light Speed of Your Life","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/4197c4c96faa7da3a0764d8f47d4c4a5244c3d4c?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:5IasfqBkxp0j18Of3zRlpt","Nothing Neutron Under the Sun","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/f2002c46ee22fec2ca2604508b8b5e5c1be760e2?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:2NFErJT3zE4zb4E9WYOw9F","Starship Birth","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/0c96ac3422a028682a3ea12082a7af3182734068?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:1TyVirXUWhDX5b5dLIoUMN","Span-tastic Voyage","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/b56e3441276cff42b10a0039628e7c95bc6587a9?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:2QCOcI33iOHIoK8DczV3Pw","The Bridges of Silver Surfer County","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/31a1855fbf10dc54ca5d4902dbeb9fbcc7a8d6ad?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:0lT5geC4TfyPAMIxO0Q3gD","A Mole in Your Plan","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/688f09370fbc70c3cb7015777fb0ab9daf0e8221?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:09nLtF6aFO5uSH0Rffqrho","A Walk on the City","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/7982a2c4f64df99a22fcb985954d2470eb6f89ed?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:6TLNl9Mr9nGxZB0jouLc8L","The Other Sue Drops","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/21bcdcea97c77475e9712174be9238cf7002984d?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:0wOAGmpK4QiMy9ecBUYWGA","Don't Sue the Baby!","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/8a991c355d9cb155f5bacbe19fd30e16b906100c?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:3BqNVOfw6IAnH4OAkHzivN","Without Further Adieu","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/fc35a0c4ddce99149755fac3523cb54ac2543931?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:23dXPTcKEyvspGBUHrjNkJ","Carseat Drivers","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/7ba104184a8d627b85ee4f1839bb2be502d9f765?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:4U4k2nqhq30sC0yQe8uTyR","Fantastic Four to Be Reckoned With","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/8e560042d9c73ebcde8f5ba01a377db5f3021556?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:3uBASKMg5vbIKwWi6Ya5mb","The Galactus/Silver Surfer Suite","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/bad73c1954ebe017e48ed91fd9b3f8c15f839a99?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:7DpgyhysUShwiHpTTP6GmJ","Tripping the Lights Fantastic","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/edac8e039ab37a51ac633158079561c3ed70f207?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:0bB0Be04RuVLe2y8W1eBqB","The Fantastic Four Power Hour (Cartoon Theme)","Michael Giacchino","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/36dd96a7b9cc8852302968505814af601ac9c49d?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:2cdNzaQJssaVsm5GKKtnnL","The Ted Gilbert Show","Michael Giacchino, Andrea Datzman","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/ec38133fc81090a3a66e924d3ab6ad0f694ead79?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:6lsPeGbUTk8jCSMmof6grI","Let Us Be Devoured (Studio Version)","Andrea Datzman","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/e02eea472edfddb1a5d8efb33b38e63275e9cb02?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:0DfEypjNV46CjCTYS21HWY","H.E.R.B.I.E.'s Lullaby","Matthew Wood","Michael Giacchino","2025-07-18","https://i.scdn.co/image/ab67616d0000b273e986fcce07dc6b104cf3793c","https://p.scdn.co/mp3-preview/b4b64093e89ad95eaece96796e32acbd76fcc70d?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:38:59Z"
"spotify:track:7fp41IDi1dqARoX0Nuvz5O","The Oogum Boogum Song","Brenton Wood","Brenton Wood","2017-02-24","https://i.scdn.co/image/ab67616d0000b27307d18e4cc6a7282deca422a5","https://p.scdn.co/mp3-preview/8d380cc1fbc99cfc1831d5bf8774c111f67f6812?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:41:16Z"
"spotify:track:0nZ38fGkU7dOBei8X0XvsP","Fantastico - Remastered","Peggy Lee","Peggy Lee","1960-12-01","https://i.scdn.co/image/ab67616d0000b273a3c42c248c52148cf1fc4a40","https://p.scdn.co/mp3-preview/3be6aa62ae890be1b5eea98f56a252b1d986376e?cid=9950ac751e34487dbbe027c4fd7f8e99","2025-07-23T01:42:31Z"
