"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL","Added At"
"spotify:track:6FwJj7uwhZ1vrBlDZvMLZk","Is You Ready - From ""Mile 22""","Migos","Migos","2018-08-17","https://i.scdn.co/image/ab67616d0000b273f3debe3bbd444814ace8d4f8","https://p.scdn.co/mp3-preview/d3e76dec15780438e721d1ad7d4726e8376a63bd?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:53mmczr5bIsDSjiq3tao62","Wanda's Theme (End Credits from ""WandaVision"")","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/4e9f6c67d3b23ed61adf97f1cb1514bd350145fe?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:2J7tTtwQ3cmqD9xYqVqtUh","A Newlywed Couple","Kristen Anderson-Lopez, Robert Lopez, Sara Mann, Jessica Rotter, Cindy Bourquin, Elyse Willis, Laura Dickinson, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/858eede1d05236ec4ef98d5c8109964191a2547d?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:3b1FO0A6wfi4mYutDBKrSf","Toast-Mate 2000","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/12b21ead062c0c1ef7877e41a79a30d96a121204?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:77IuWiPOO0usUcIzIJqK3s","Dinner Is Served","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/afa8a387dd7a627b7737c83605b1ab1e5123fe27?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:6DxPvZKzXFGkvCsAxLwyH7","Calendar Confusion","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/11aaf638b120c870c0362ca4d52f01c13d58a9ec?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:6AWBOfAksYKOSEk0bNiTTR","Frog in My Throat","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/cfc867b3e7b0f3e1511d681caa4734e763e42903?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:5z7HmV7F65C8p6LyH1ONCq","Thank You for Coming","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/99452ea7d7dd85db8eb071da1c731a87d6623435?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:6ATXacucFwXxTzVDmRaHhZ","Parcheesi","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/fd1a2fc67d46b832fdcd54562b3a06bf6f3e9bb5?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
"spotify:track:0nx7i1ePhvGhlc71qsJq8s","Rings","Christophe Beck","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/f1636c348109d5891fff90394fcfaffc063b6a66?cid=9950ac751e34487dbbe027c4fd7f8e99","2023-11-09T05:56:47Z"
