"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:6FwJj7uwhZ1vrBlDZvMLZk","Is You Ready - From ""Mile 22""","Migos","Migos","2018-08-17","https://i.scdn.co/image/ab67616d0000b273f3debe3bbd444814ace8d4f8","https://p.scdn.co/mp3-preview/d3e76dec15780438e721d1ad7d4726e8376a63bd?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2J7tTtwQ3cmqD9xYqVqtUh","A Newlywed Couple","Kristen Anderson-Lopez, Robert Lopez, Sara Mann, Jessica Rotter, Cindy Bourquin, Elyse Willis, Laura Dickinson, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b2734f1d566833e739fb030e0a52","https://p.scdn.co/mp3-preview/858eede1d05236ec4ef98d5c8109964191a2547d?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2lD3POsCEgFZGH5F2cT46Y","WandaVision!","Kristen Anderson-Lopez, Robert Lopez, Sara Mann, Jessica Rotter, Cindy Bourquin, Elyse Willis, Laura Dickinson, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-22","https://i.scdn.co/image/ab67616d0000b273d20678800e5ffda05b12b311","https://p.scdn.co/mp3-preview/4ad89295af43e5463b5b6fc000ffbfc6e88ea017?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7wy016ZmoaeapFpte30sK1","We Got Something Cooking","Kristen Anderson-Lopez, Robert Lopez, Elyse Willis, Laura Dickinson, Eric Bradley, Gerald White","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-01-29","https://i.scdn.co/image/ab67616d0000b2736fb5f3715fd9a54f1bba000b","https://p.scdn.co/mp3-preview/780b40a740671759e65dece198617b9fecd8584c?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7uEcCGtM1FBBGIhPozhJjv","Daydream Believer","The Monkees","The Monkees","1968-04-22","https://i.scdn.co/image/ab67616d0000b27376448e93fcf0b2298744ba97","https://p.scdn.co/mp3-preview/1ac30893bdf3d5334babc8ad5b54f819ca52b219?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2AxCeJ6PSsBYiTckM0HLY7","Voodoo Child (Slight Return)","Jimi Hendrix","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","https://p.scdn.co/mp3-preview/9a4434bb29956cd4097053fcb56bef39acdf331e?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2yvK5UpojmQyISf3ABE7Ot","Twilight Time","The Platters","The Platters","2020-06-17","https://i.scdn.co/image/ab67616d0000b2737de77074bded6dfd2beefec5","https://p.scdn.co/mp3-preview/5f90695a14ab356ff20cfa4705f82fa32f55992a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:553Nw509Iu0IcU8z17kih3","Making It Up As We Go Along","Kristen Anderson-Lopez, Robert Lopez","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-02-12","https://i.scdn.co/image/ab67616d0000b27324ab9de77ad69a0167c2f786","https://p.scdn.co/mp3-preview/7a38af99f01d5305456bee74c0cf8fc086867156?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:276IEtvE1or7kMbjU7yTdA","Let's Keep It Going","Kristen Anderson-Lopez, Robert Lopez, Kathleen Hanna","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-02-19","https://i.scdn.co/image/ab67616d0000b273f77c933dad20f5e50c15fb28","https://p.scdn.co/mp3-preview/69ecb0326afba246e3f78d9f8a3a4206c88d9179?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0kHsXoIt6dONEdkgKgyjoK","Agatha All Along","Kristen Anderson-Lopez, Robert Lopez, Kathryn Hahn, Eric Bradley, Greg Whipple, Jasper Randall, Gerald White","Kristen Anderson-Lopez, Robert Lopez, Christophe Beck","2021-02-23","https://i.scdn.co/image/ab67616d0000b273374bbe82f1abe6921b1488fa","https://p.scdn.co/mp3-preview/4ca19d919f76e982d7c91ff7471bd795ff10d4ec?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:36LQYp5FNsuT5voIO9bdfZ","Came For The Low","ZHU, partywithray","ZHU, partywithray","2019-10-25","https://i.scdn.co/image/ab67616d0000b27378e0587bb4fb6209db5a84e9","https://p.scdn.co/mp3-preview/5b73abfc4de293500499f98bb0d39e3771359f3a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6ySeIgGcQxxAh8BkknwUx1","Just Another Girl","Al Hazan, Annette Tucker","Al Hazan","2020-11-01","https://i.scdn.co/image/ab67616d0000b27300faf817170de2e5b5aa0819","https://p.scdn.co/mp3-preview/4973073fd74011f8a15ff8e03233aec3a4809d1d?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:58nSWXBWh3rA9yDElODXci","Butterfly","SMiLE.dk","SMiLE.dk","2017-07-14","https://i.scdn.co/image/ab67616d0000b2730c0f19f0ce0a48c2aab7abde","https://p.scdn.co/mp3-preview/7057474cd42895cb6cda060d1944d6868b974869?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4qvdAp6MMl59RjaTOti9QD","Help Me, Rhonda","The Beach Boys","The Beach Boys","2012-01-01","https://i.scdn.co/image/ab67616d0000b27310d709d905d269d37a41d4c4","https://p.scdn.co/mp3-preview/3ea634ec86abc0818c4043f9cc9a3d957de31a51?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:59aZ0ioyVrmtdut1KfU5aT","Amatz","Shanti Dope","Shanti Dope","2020-03-20","https://i.scdn.co/image/ab67616d0000b273748a9bf41642182e3f737251","https://p.scdn.co/mp3-preview/3e77adce8365c0f6964c09c724d1426e9ef0612e?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:36ANV8QyKQQdoi7bcqUFv6","Xiang","Howie Lee","Howie Lee","2015-12-04","https://i.scdn.co/image/ab67616d0000b27306460d56745a1e5f2b45f010","https://p.scdn.co/mp3-preview/0c943180fafd86dc36539c95fa5c182175ae4bdb?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:71tjsDvB4EMJqNG8EMmFnb","Comin' Home Baby","Mel Tormé","Mel Tormé","2005-02-08","https://i.scdn.co/image/ab67616d0000b2734d0dabb3e61fa4939729e581","https://p.scdn.co/mp3-preview/214b02f7a1e2cc98df9235255737144d51bca8f2?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6dyrACSQuROqAmsocRhkMW","Caged (Empirion Remix)","Jim Davies, Empirion","Jim Davies","2020-12-18","https://i.scdn.co/image/ab67616d0000b273414115b945241aec0f47fd79","https://p.scdn.co/mp3-preview/3390e4264a831bed8268ff0c65caf1b4823cc9a1?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3QWref6eXBTcypIrVvFSTX","Hey Pocky A-Way - 2002 Remaster","The Meters","The Meters","1974","https://i.scdn.co/image/ab67616d0000b273dc6b1a7c9f5a7049c01926bc","https://p.scdn.co/mp3-preview/2c0b1f3b4851f3a810a1397c4557627793e3dcc8?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0Tnt1pxkoNdX1ZWkRTW8f6","Chocolate Samurai","Fantastic Negrito","Fantastic Negrito","2020-08-14","https://i.scdn.co/image/ab67616d0000b27388ef56bd1cfdaeb2bb1fbd6a","https://p.scdn.co/mp3-preview/27dfcb8271db78872626b18b8ef08e1ebd53e5d6?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7Ci3Yc9H2YliGFc1czyqI1","One","Harry Nilsson","Harry Nilsson","1968-07-01","https://i.scdn.co/image/ab67616d0000b27368e7f5a59fab864e46d85117","https://p.scdn.co/mp3-preview/10fc9925e6dd1b1fb00910e45aa72a1e25464596?cid=9950ac751e34487dbbe027c4fd7f8e99"
